participants;elecs;elec_label;con_idx;con_label1;con_label2;con_label3;time;time_label;amplitude
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;3;cue_left_6t;cue_left;6t;[500 1000]ms;retention;0.940065910243393
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;4;cue_right_6t;cue_right;6t;[500 1000]ms;retention;-0.88348145196106
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;4;cue_right_6t;cue_right;6t;[500 1000]ms;retention;-3.27106586441455
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;5;cue_left_3t;cue_left;3t;[500 1000]ms;retention;1.04919993591496
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;5;cue_left_3t;cue_left;3t;[500 1000]ms;retention;-2.62802375560561
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;6;cue_right_3t;cue_right;3t;[500 1000]ms;retention;0.671171887993701
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;6;cue_right_3t;cue_right;3t;[500 1000]ms;retention;-1.12065753907691
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;1;cue_left_3t3d;cue_left;3t_3d;[1000 1500]ms;probe;2.93266350972845
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;1;cue_left_3t3d;cue_left;3t_3d;[1000 1500]ms;probe;2.63134215069549
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;2;cue_right_3t3d;cue_right;3t_3d;[1000 1500]ms;probe;-1.40105709525815
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;2;cue_right_3t3d;cue_right;3t_3d;[1000 1500]ms;probe;5.63741364643502
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;3;cue_left_6t;cue_left;6t;[1000 1500]ms;probe;-1.98598509179137
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;3;cue_left_6t;cue_left;6t;[1000 1500]ms;probe;2.50393376726424
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;4;cue_right_6t;cue_right;6t;[1000 1500]ms;probe;1.58927768110734
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;4;cue_right_6t;cue_right;6t;[1000 1500]ms;probe;4.40438845469471
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';ipsi;5;cue_left_3t;cue_left;3t;[1000 1500]ms;probe;2.35948529003799
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';contra;5;cue_left_3t;cue_left;3t;[1000 1500]ms;probe;-7.53955592853254
VP03;'CP3','CP5','P3','P5','P7','P9','PO3','PO7','O1','I1';contra;6;cue_right_3t;cue_right;3t;[1000 1500]ms;probe;-1.71361157931565
VP03;'CP4','CP6','P4','P6','P8','P10','PO4','PO8','O2','I2';ipsi;6;cue_right_3t;cue_right;3t;[1000 1500]ms;probe;4.72523651462579
